index,anall innbyggere,pred,delta_pop,pred_plus,pred_minus,derivative_dY_dPop,elasticity
0,271225.0,39860753.322810285,2712.25,42223765.45283032,39860753.322810285,435.61842197806936,2.9640836324433
13,145810.0,8058139.262942338,1458.1000000000001,8172172.421776425,8061345.397747087,38.00391743684842,0.6876713122780539
26,179064.0,3881860.1228330918,1790.64,3893114.8159277723,3881860.1228330918,3.1426453934572174,0.14496520660907364
39,48940.0,633058.6275664055,489.40000000000003,633058.6275664055,633058.6275664055,0.0,0.0
52,86723.0,563365.9399328479,867.23,562168.8560343767,563365.9399328479,-0.6901767111788155,-0.1062439005998391
65,142756.0,6443906.202399949,1427.56,6557817.958820936,5740539.807741413,286.25001789050015,6.3414808146581985
78,81121.0,2013151.2993595407,811.21,2013151.2993595407,2013151.2993595407,0.0,0.0
91,66980.0,884405.182087994,669.8000000000001,884405.182087994,884405.182087994,0.0,0.0
104,140824.0,8601164.992012648,1408.24,9439792.527790762,8601164.992012648,297.75731969625923,4.875081088183403
117,129073.0,4122823.457990029,1290.73,4633805.290848256,4122823.457990029,197.9429597430248,6.196989006016573
130,96540.0,1172940.5517921573,965.4,1280343.0506777123,1172940.5517921573,55.62590578286493,4.578343664623641
1,272246.0,38461937.58424017,2722.46,39295182.98314407,37681059.61181562,296.44574600332754,2.0983386078680386
14,146414.0,7803382.58971583,1464.14,7917415.748549918,7803382.58971583,38.942027003594795,0.7306649233396054
27,180666.0,3656187.101125292,1806.66,3677965.919946744,3644932.4080306115,9.142149578817426,0.451748105368645
40,49262.0,613469.4864401822,492.62,613469.4864401822,613469.4864401822,0.0,0.0
53,87168.0,571440.6030729027,871.6800000000001,566710.5758432876,567907.6597417588,-0.6866533007934175,-0.10474263572048728
66,143044.0,6328286.24319819,1430.44,6368349.410067312,6272078.947135881,33.65064697975157,0.7606361282638386
79,81666.0,1973955.2619490242,816.66,1981143.0142834303,1973955.2619490242,4.400700618621031,0.18206472236126395
92,67079.0,823310.4070478975,670.79,823310.4070478975,823310.4070478975,0.0,0.0
105,141224.0,8169191.20472691,1412.24,8903485.636850875,8099876.593240753,284.5157493096525,4.9185349165602705
118,129431.0,3850491.665166221,1294.31,4477867.418638736,3850491.665166221,242.35915409465895,8.14669668224607
131,97129.0,1017192.4122855541,971.29,1124594.9111711099,1017192.4122855541,55.288584709796496,5.27936001037558
2,273266.0,44403078.961961925,2732.66,45044456.236421704,42836444.84636756,404.0040455186823,2.4863268963236385
15,147018.0,8592714.691749042,1470.18,8604410.348894102,8490377.190060012,38.78203989786659,0.6635455902171914
28,182530.0,4366185.80043461,1825.3,4366185.80043461,4344406.981613157,5.9658189945358835,0.24940325282635517
41,49738.0,759597.8269818649,497.38,759597.8269818649,759597.8269818649,0.0,0.0
54,87658.0,714172.7278897738,876.58,714172.7278897738,715369.811788245,-0.6828149732318786,-0.08380912990113223
67,143331.0,6919078.693412129,1433.31,6938407.647456899,6842137.184525467,33.583266331579345,0.6956884521568897
80,82102.0,2208873.6887821234,821.02,2216061.4411165295,2208873.6887821234,4.377330841152529,0.16270175091743502
93,67562.0,1068928.166576927,675.62,1075481.7826257572,1068928.166576927,4.850075522357346,0.3065508166847664
106,141623.0,10068135.026666613,1416.23,10209338.38803076,9224985.7411835,347.5257009268452,4.888455728097015
119,129732.0,4724642.853477298,1297.32,4892042.263871138,4213661.020619077,261.45486204331144,7.179180144302067
132,97589.0,1371936.9535266212,975.89,1433035.4891281382,1264534.4546410663,86.33198131299226,6.140990446169304
3,274286.0,45872162.78357925,2742.86,46032125.11226723,43597237.839642264,443.8591967189324,2.6539922306612853
16,147622.0,8728315.055774257,1476.22,8789896.276306532,8614281.896940168,59.48110016337815,1.0060038979126085
29,183370.0,4526800.0085905865,1833.7,4526800.0085905865,4505021.189769134,5.9384901623636415,0.24055424118717836
42,50151.0,823585.5995390575,501.51,823585.5995390575,823585.5995390575,0.0,0.0
55,88040.0,778160.5004469662,880.4,778160.5004469662,782890.5276765812,-2.686294428450166,-0.30392362673883994
68,143618.0,7040268.267337326,1436.18,7059597.221382096,6920243.088421286,48.51555270258986,0.9896933445514543
81,82567.0,2271756.8867492597,825.6700000000001,2271756.8867492597,2264569.1344148535,4.352678633356032,0.15819809717164252
94,67937.0,1116092.174026685,679.37,1122645.7900755152,1116092.174026685,4.8233039792970995,0.29359654163623977
107,142022.0,10378439.805827713,1420.22,10461229.461993406,9476876.815146146,346.54935391955416,4.7422958809980456
120,129874.0,4832319.326962642,1298.74,4999718.737356482,4321337.494104426,261.1689958159665,7.019209590174722
133,97784.0,1435655.6663420452,977.84,1481011.348549372,1312510.3140623001,86.15981882878206,5.86843483564558
4,275519.0,44880430.25688662,2755.19,45453391.48230178,44228605.93250716,222.26879993659617,1.3644984493065162
17,147982.0,8615507.361403711,1479.82,8686709.664359456,8501474.20256962,62.587159853845186,1.075011917578202
30,184495.0,4335883.141348701,1844.95,4338966.554767824,4335883.141348701,0.8356360386793106,0.035556924836351506
43,50277.0,742183.2984532772,502.77000000000004,742183.2984532772,742183.2984532772,0.0,0.0
56,88470.0,689495.9062806998,884.7,686457.2107916219,689495.9062806998,-1.7173592681574765,-0.2203563111396313
69,143919.0,6904648.052402757,1439.19,6940808.928131746,6801454.795170936,48.41408464511638,1.0091327747857914
82,82757.0,2187959.6041654604,827.57,2187959.6041654604,2180771.851831054,4.342685412959955,0.16425697075765067
95,68257.0,1024660.1572910143,682.57,1024660.1572910143,1018106.5412421842,4.800691539937317,0.3197946168882183
108,142306.0,9779399.636267882,1423.06,9905272.962462952,8940772.100489767,338.88271119038785,4.931288718359759
121,130225.0,4674382.362705145,1302.25,4795873.987503724,4163400.52984692,242.83872438349164,6.765315806244622
134,97867.0,1333130.923454796,978.6700000000001,1378486.6056621228,1209985.571175051,86.08674756918687,6.31974817786101
5,276752.0,42087209.4908732,2767.52,42701290.36694525,41969224.93092198,132.26018890979427,0.8697006108019816
18,148342.0,8154927.665403014,1483.42,8226129.968358757,8143232.008257955,27.941500081164115,0.5082691318801793
31,185692.0,3904450.8548126644,1856.92,3907534.268231787,3904450.8548126644,0.8302493966143724,0.039485878216672585
44,50578.0,661003.2356168478,505.78000000000003,661003.2356168478,661003.2356168478,0.0,0.0
57,88884.0,591055.5894595176,888.84,588016.8939704398,591055.5894595176,-1.7093602274187936,-0.25705665789037985
70,144221.0,6517689.543315228,1442.21,6543131.919855051,6403777.78689424,48.312705140309355,1.0690454956061664
83,83136.0,2046862.6267185046,831.36,2046862.6267185046,2039674.8743840985,4.322887999426319,0.17557974435073379
96,68295.0,861664.4422144783,682.95,861664.4422144783,855110.8261656482,4.798020388630298,0.3802881799315825
109,142591.0,9086318.141466858,1425.91,9195359.545977708,8282709.097856734,320.02386129593447,5.022113654352175
122,130587.0,4292692.779578368,1305.8700000000001,4637868.525295738,3835164.79628097,307.344425178146,9.349652656643336
135,98040.0,1140123.9857299123,980.4,1185479.6679372392,1032721.4868443569,77.90604910897756,6.699191623228887
6,277985.0,47231210.68557457,2779.85,47522803.68514226,46611893.56730263,163.84159538098,0.9643095154851136
19,148701.0,8866434.123740058,1487.01,8876055.206163527,8804852.903207783,23.9414338019732,0.401527276704728
32,187192.0,4583111.083226897,1871.92,4596673.207604148,4580027.669807774,4.446113561576963,0.18159649083450138
45,50822.0,811434.1085307546,508.22,811434.1085307546,811434.1085307546,0.0,0.0
58,89354.0,762970.3139495857,893.54,762970.3139495857,766009.0094386635,-1.7003690316481919,-0.19913589254526598
71,144522.0,7056311.711090992,1445.22,7056311.711090992,7016248.54422187,13.860577237072038,0.283881782079949
84,83662.0,2264258.043040773,836.62,2272741.028107855,2264258.043040773,5.069795765749175,0.18732372604692113
97,68768.0,1101173.2604489783,687.6800000000001,1110921.8340600063,1094619.6444001482,11.853034594475838,0.7402191029053613
110,142875.0,10367640.427453035,1428.75,10375150.165329712,10211411.715116046,57.301294912918685,0.7896611160437877
123,130772.0,4889759.451729131,1307.72,5083269.206730798,4211378.208477075,333.36302811523944,8.915479451094484
136,98430.0,1442026.0648043873,984.3000000000001,1442026.0648043873,1304655.3031236304,69.78094162387306,4.763116459319722
7,279218.0,46851351.49700036,2792.18,47410979.61461667,46796824.4248178,109.97772167246931,0.6554295342346653
20,149061.0,8846189.201092592,1490.6100000000001,8855810.28351606,8784607.980560316,23.88361239886538,0.402446190880426
33,188370.0,4564942.317106293,1883.7,4578504.441483544,4564942.317106293,3.5998631356509843,0.1485465032759551
46,51212.0,793265.3424101511,512.12,796647.2740432343,793265.3424101511,3.3018937290899912,0.2131652205306187
59,89786.0,744801.5478289822,897.86,744801.5478289822,747840.2433180601,-1.69218780716249,-0.20399363413887248
72,144823.0,7032864.758393787,1448.23,7032864.758393787,7013535.804349016,6.673302598610134,0.13741878102874813
85,84081.0,2260070.267946549,840.8100000000001,2268553.2530136313,2260070.267946549,5.044531503598986,0.18767082571263552
98,69224.0,1096985.4853547544,692.24,1106734.0589657824,1096985.4853547544,7.041324981962869,0.44433466719367576
111,143159.0,10618853.010071117,1431.59,10638181.964115886,10459015.714599999,62.57596431795688,0.8436233618921138
124,130921.0,4928335.414318176,1309.21,5121845.169319843,4760936.003924336,137.83471154188666,3.6615726716465566
137,98815.0,1500265.885024298,988.15,1500265.885024298,1454910.202816971,22.94979618849726,1.5115881344789948
8,279577.0,46929455.56676579,2795.77,46743039.601021156,46157290.97295431,104.75622602482345,0.6240735386685937
21,149428.0,9008047.222441157,1494.28,9008047.222441157,8936844.919485413,23.8249534744977,0.3952149738867
34,189330.0,4591384.008521729,1893.3,4591384.008521729,4577821.884144478,3.581609987126099,0.1476910268459361
47,51584.0,869410.188914349,515.84,869410.188914349,866028.257281266,3.278081995466559,0.19449574413810528
60,90142.0,810203.120854188,901.4200000000001,810203.120854188,810203.120854188,0.0,0.0
73,145215.0,7117306.116708261,1452.15,7117306.116708261,7094771.027858742,7.759215249636563,0.1583119264507756
86,84338.0,2347943.1269639432,843.38,2347943.1269639432,2339460.141896861,5.0291594933968415,0.18064715813732588
99,69418.0,1167492.7902047366,694.1800000000001,1167492.7902047366,1157744.2165937086,7.021646843058086,0.41750037742496776
112,143546.0,10226554.025444258,1435.46,10249089.114293776,10125130.435171593,43.17733657579598,0.6060627989338726
125,131136.0,4929114.91002427,1311.3600000000001,5116395.602857562,4759267.139849156,136.16720923636814,3.622642903720102
138,99214.0,1473715.9964048965,992.14,1570499.2414931862,1428360.3141975696,71.63249505897186,4.822466731797783
9,279936.0,42826958.61948108,2799.36,43370102.29610621,43003723.14860559,65.43980543778241,0.42774359808726065
22,149795.0,8410323.505398698,1497.95,8410323.505398698,8339121.202442969,23.76658198061631,0.42330299726296317
35,190616.0,4015113.5613597305,1906.16,4015113.5613597305,4001551.4369824794,3.5574464833096675,0.16888842830958753
48,51921.0,669443.2294495534,519.21,669443.2294495534,669443.2294495534,0.0,0.0
61,90594.0,592975.9074046393,905.94,592975.9074046393,592975.9074046393,0.0,0.0
74,145606.0,6591603.111328494,1456.06,6662485.791670792,6562954.599983922,34.17825903014634,0.7549847131710113
87,84801.0,2080356.9987219556,848.01,2080356.9987219556,2071874.0136548732,5.001701080814135,0.2038829170256311
100,69503.0,876471.0780251288,695.03,876471.0780251288,866722.5044141008,7.013059588095509,0.5561263717334292
113,143933.0,9383313.968523625,1439.33,9422680.979057364,9274272.564012775,51.55468691842395,0.7908102379523219
126,131726.0,4365759.103335778,1317.26,4598947.58176433,4253771.83604696,131.02035502382574,3.953215667048926
139,99657.0,1180724.585533175,996.57,1310581.4010831297,1180724.585533175,65.15187871898304,5.499030728292786
10,280295.0,48112195.69629913,2802.9500000000003,48162433.78409995,47815310.05265632,61.921142268614716,0.36074401346676493
23,150162.0,9068631.911909353,1501.6200000000001,9068631.911909353,9059010.829485884,3.2035676214585185,0.05304594186270932
36,191497.0,4741970.731053933,1914.97,4741970.731053933,4741970.731053933,0.0,0.0
49,52244.0,860538.5436560487,522.44,860538.5436560487,860538.5436560487,0.0,0.0
62,90705.0,808593.7686763741,907.0500000000001,808593.7686763741,808593.7686763741,0.0,0.0
75,145998.0,7157208.155213609,1459.98,7228090.835555907,7157208.155213609,24.27522306548634,0.4951838678232628
88,85112.0,2335276.040572146,851.12,2335276.040572146,2335276.040572146,0.0,0.0
101,69847.0,1156644.3375522161,698.47,1156644.3375522161,1146895.763941188,6.978519915692879,0.42141621648616406
114,144319.0,10573699.892055487,1443.19,10573699.892055487,10566190.154178811,2.601784199126938,0.035511400708083396
127,132033.0,5090313.347824295,1320.33,5090313.347824295,4896803.592822628,73.28082941449023,1.9007646659353283
140,100136.0,1584531.8133848868,1001.36,1651191.8480811347,1487748.568296597,81.61064940907242,5.157462867072039
11,280654.0,48089731.40259225,2806.54,48089731.40259225,47805165.49096516,50.69692782342201,0.29586972449980686
24,150529.0,9066078.44913945,1505.29,9066078.44913945,9056457.36671598,3.1957571044346937,0.05306088226261836
37,192307.0,4735861.129456615,1923.07,4735861.129456615,4735861.129456615,0.0,0.0
50,52519.0,851336.9852093065,525.19,851336.9852093065,851336.9852093065,0.0,0.0
63,91090.0,799392.2102296319,910.9,799392.2102296319,799392.2102296319,0.0,0.0
76,146389.0,7142728.410190267,1463.89,7213611.090532565,7142728.410190267,24.210384776963203,0.4961877049753959
89,85366.0,2326631.514594798,853.66,2326631.514594798,2326631.514594798,0.0,0.0
102,70085.0,1141194.1381998018,700.85,1141194.1381998018,1141194.1381998018,0.0,0.0
115,144706.0,10906347.047959972,1447.06,10906347.047959972,10883811.959110454,7.786508109379875,0.10331180894217769
128,132358.0,5164151.297837836,1323.58,5164151.297837836,4970641.542836169,73.1008911443463,1.873587196047953
141,100492.0,1643466.2519633423,1004.9200000000001,1643466.2519633423,1480022.9721788047,81.32153792567463,4.9725170683998785
