delmarkedsområde,n_valid,mean,median,p25,p75
1,12,1.3137591959872472,0.9170050631435476,0.5749910535232604,2.1953356799819383
10,12,5.715358870093394,6.481152406130597,3.651840229664943,7.421059278788068
11,12,5.134354228938768,5.218411438723809,4.807629163678268,5.936573738276511
2,12,0.5333137530054989,0.46578606457157123,0.399949201000221,0.6984197150434418
3,12,0.150703004859188,0.1481187650609456,0.03850363987159225,0.19633592842267056
4,12,0.033971747055726996,0.0,0.0,0.0
5,12,-0.12327181572287065,-0.10549326816016315,-0.20808430338906211,0.0
6,12,1.0993038154626236,0.7253365826639505,0.4423583463874343,0.9945532021100387
7,12,0.1335271593734366,0.16991835755419216,0.11864857287873187,0.1833794732826782
8,12,0.3233189075737004,0.3500413984099004,0.2201974062271798,0.42714582916304195
9,12,2.712229225918586,2.7929596214450796,0.743761536766309,4.89597552521283
