area,feature,mean_abs_shap
1,anall innbyggere,18077769.051221367
1,år,38121.24369426618
1,t_index,371808.1893343861
1,sin_q,323750.06199249806
1,cos_q,326331.2666037836
1,t_index_area,184795.95496669816
1,Q_1,3794.503942781282
1,Q_2,558.453663499996
1,Q_3,369499.5307870666
1,Q_4,2115.856964866533
1,AREA_1,18917184.05477791
1,AREA_10,3670.827576691083
1,AREA_11,309.21372924916903
1,AREA_2,86626.42683307575
1,AREA_3,315564.8960600865
1,AREA_4,16886.339597846876
1,AREA_5,28447.777362184508
1,AREA_6,4567.879662768106
1,AREA_7,58890.50115783103
1,AREA_8,0.0
1,AREA_9,160848.72416196016
10,anall innbyggere,915699.7722115014
10,år,2903.4057609220195
10,t_index,75608.68879935662
10,sin_q,77857.9956661926
10,cos_q,59313.77001763161
10,t_index_area,14634.840767664935
10,Q_1,69.8463671942133
10,Q_2,634.1102897685007
10,Q_3,102348.79109075433
10,Q_4,528.0602921468034
10,AREA_1,1805863.7402976835
10,AREA_10,49757.72955197149
10,AREA_11,639.1124911898929
10,AREA_2,155731.56933752133
10,AREA_3,192895.57255218018
10,AREA_4,17131.395590674114
10,AREA_5,31879.913448884425
10,AREA_6,5796.195101803113
10,AREA_7,101889.74507288507
10,AREA_8,0.0
10,AREA_9,297668.5678118719
11,anall innbyggere,4026701.822458681
11,år,2903.4057609220195
11,t_index,70385.70998128787
11,sin_q,62792.16782997002
11,cos_q,58918.933782801585
11,t_index_area,14246.72585500544
11,Q_1,69.8463671942133
11,Q_2,634.1102897685007
11,Q_3,88372.63302794134
11,Q_4,528.0602921468034
11,AREA_1,1868397.1647196242
11,AREA_10,4873.669456904955
11,AREA_11,3926.062511165865
11,AREA_2,155731.56933752133
11,AREA_3,154679.3807076325
11,AREA_4,17131.395590674114
11,AREA_5,31899.837576269285
11,AREA_6,5796.195101803113
11,AREA_7,127665.62983727582
11,AREA_8,0.0
11,AREA_9,297911.4814332041
2,anall innbyggere,1364119.722374071
2,år,3291.1665656696955
2,t_index,141002.3972231537
2,sin_q,91014.9826173871
2,cos_q,67642.2524164123
2,t_index_area,21897.113917245722
2,Q_1,69.8463671942133
2,Q_2,558.453663499996
2,Q_3,114282.45363136502
2,Q_4,138.7809433600502
2,AREA_1,1721772.8401708882
2,AREA_10,3914.534543574715
2,AREA_11,309.21372924916903
2,AREA_2,1375080.8040060482
2,AREA_3,321681.5675823291
2,AREA_4,16457.328179448636
2,AREA_5,27924.72340108817
2,AREA_6,4789.413424373979
2,AREA_7,60056.84574015614
2,AREA_8,0.0
2,AREA_9,298700.33193631965
3,anall innbyggere,644430.6186682199
3,år,3291.1665656696955
3,t_index,130084.82115444966
3,sin_q,78420.74018855912
3,cos_q,76608.94517038729
3,t_index_area,19196.529866916506
3,Q_1,69.8463671942133
3,Q_2,4659.701196577845
3,Q_3,132201.00469909294
3,Q_4,528.0602921468034
3,AREA_1,1774270.3763349208
3,AREA_10,3899.798448238768
3,AREA_11,309.21372924916903
3,AREA_2,158161.38101520707
3,AREA_3,1644802.1871335122
3,AREA_4,15793.255557555565
3,AREA_5,25487.852814915565
3,AREA_6,4500.360737017348
3,AREA_7,61738.05508956084
3,AREA_8,0.0
3,AREA_9,299501.8353860774
4,anall innbyggere,4359652.893336992
4,år,3291.1665656696955
4,t_index,83191.6841080595
4,sin_q,50558.48006784234
4,cos_q,57191.18322590783
4,t_index_area,13819.151076471404
4,Q_1,69.8463671942133
4,Q_2,558.453663499996
4,Q_3,80632.33906236521
4,Q_4,528.0602921468034
4,AREA_1,1865533.2896636566
4,AREA_10,5143.996619875795
4,AREA_11,309.21372924916903
4,AREA_2,155690.28899095158
4,AREA_3,132959.6359113833
4,AREA_4,157829.00685976094
4,AREA_5,25295.18265470341
4,AREA_6,5624.29083437166
4,AREA_7,150736.3329575511
4,AREA_8,0.0
4,AREA_9,296962.135034086
5,anall innbyggere,4284856.358788591
5,år,3291.1665656696955
5,t_index,83519.53839699143
5,sin_q,51743.44072412653
5,cos_q,59006.75649602939
5,t_index_area,13137.888419392213
5,Q_1,69.8463671942133
5,Q_2,558.453663499996
5,Q_3,82469.5973751233
5,Q_4,528.0602921468034
5,AREA_1,1865533.2896636566
5,AREA_10,5065.4154987932425
5,AREA_11,309.21372924916903
5,AREA_2,155663.11066443732
5,AREA_3,131746.94454664484
5,AREA_4,12765.670020705826
5,AREA_5,272010.84650519583
5,AREA_6,5039.387899927529
5,AREA_7,151425.16383251094
5,AREA_8,0.0
5,AREA_9,296962.135034086
6,anall innbyggere,1251145.1098718543
6,år,3665.348961442854
6,t_index,110088.53784467014
6,sin_q,78024.87619531408
6,cos_q,65526.96825664225
6,t_index_area,15897.592537352893
6,Q_1,69.8463671942133
6,Q_2,558.453663499996
6,Q_3,112019.65023495587
6,Q_4,528.0602921468034
6,AREA_1,1765268.3707485746
6,AREA_10,3909.633899171902
6,AREA_11,309.21372924916903
6,AREA_2,155359.50983054933
6,AREA_3,312959.76833679207
6,AREA_4,17011.260910409354
6,AREA_5,27770.451008016204
6,AREA_6,52059.51125823188
6,AREA_7,62919.57588486152
6,AREA_8,0.0
6,AREA_9,299514.5760611224
7,anall innbyggere,4028690.075583922
7,år,3684.567943893669
7,t_index,83182.01961848786
7,sin_q,56427.14168661733
7,cos_q,58167.886484200106
7,t_index_area,16752.72489208976
7,Q_1,69.8463671942133
7,Q_2,634.1102897685007
7,Q_3,85411.41565274027
7,Q_4,528.0602921468034
7,AREA_1,1868292.4895895896
7,AREA_10,4346.505928189559
7,AREA_11,309.21372924916903
7,AREA_2,153824.97846735295
7,AREA_3,134647.33759595687
7,AREA_4,17011.260910409354
7,AREA_5,31578.613234321354
7,AREA_6,5680.079245375756
7,AREA_7,756432.1943757925
7,AREA_8,0.0
7,AREA_9,296708.4414004864
8,anall innbyggere,4284932.332633529
8,år,3291.1665656696955
8,t_index,80067.35701019924
8,sin_q,56427.14168661733
8,cos_q,59006.75649602939
8,t_index_area,13819.151076471404
8,Q_1,69.8463671942133
8,Q_2,634.1102897685007
8,Q_3,89494.23114300083
8,Q_4,528.0602921468034
8,AREA_1,1868501.9008053709
8,AREA_10,5030.9173181393235
8,AREA_11,300.356854839526
8,AREA_2,155763.48362819524
8,AREA_3,134647.33759595687
8,AREA_4,17011.260910409354
8,AREA_5,31476.79151604857
8,AREA_6,5796.195101803113
8,AREA_7,150757.10965253157
8,AREA_8,0.0
8,AREA_9,297458.14708498615
9,anall innbyggere,1188623.7065228948
9,år,2903.4057609220195
9,t_index,158224.88901190253
9,sin_q,95759.00921875385
9,cos_q,139064.35535879378
9,t_index_area,19044.160568221592
9,Q_1,3444.7055749990304
9,Q_2,634.1102897685007
9,Q_3,151241.15952732417
9,Q_4,528.0602921468034
9,AREA_1,1724039.4143800382
9,AREA_10,3861.98050986142
9,AREA_11,300.356854839526
9,AREA_2,154928.03807197104
9,AREA_3,291072.49471617985
9,AREA_4,17004.502483685184
9,AREA_5,29475.58465670869
9,AREA_6,5480.146934726726
9,AREA_7,68765.98819075162
9,AREA_8,0.0
9,AREA_9,2627783.4065491697
